Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
HINDUSTAN PETROLEUM CORP,96901.0315264,455.4,2025-07-22
IFCI LTD,15136.6582272,56.18,2025-10-01
IFCI LTD,15136.6582272,56.18,2025-10-17
CHENNAI PETROLEUM CORP LT,11604.66432,779.3,2025-07-30
CHENNAI PETROLEUM CORP LT,11604.66432,779.3,2025-10-20
JAIPRAKASH POWER VEN. LTD,12343.0797312,18.01,2025-07-28
JAIPRAKASH POWER VEN. LTD,12343.0797312,18.01,2025-09-23
KFIN TECHNOLOGIES LIMITED,19423.0206464,1127.3,2025-08-29
KFIN TECHNOLOGIES LIMITED,19423.0206464,1127.3,2025-09-29
DR. REDDY S LABORATORIES,107286.2461952,1288.7,2025-08-05
DR. REDDY S LABORATORIES,107286.2461952,1288.7,2025-09-29
ANANT RAJ LIMITED,23177.8729984,644.05,2025-07-31
ANANT RAJ LIMITED,23177.8729984,644.05,2025-10-17
J B CHEMICALS AND PHARMA,26515.6591616,1690.8,2025-08-12
J B CHEMICALS AND PHARMA,26515.6591616,1690.8,2025-09-10
ABBOTT INDIA LIMITED,64289.7608704,30255.0,2025-07-22
ABBOTT INDIA LIMITED,64289.7608704,30255.0,2025-08-07
IPCA LABORATORIES LTD,32635.2437248,1281.3,2025-08-06
IPCA LABORATORIES LTD,32635.2437248,1281.3,2025-09-04
IPCA LABORATORIES LTD,32635.2437248,1281.3,2025-10-03
SYRMA SGS TECHNOLOGY LTD,15301.1257344,795.65,2025-08-12
SYRMA SGS TECHNOLOGY LTD,15301.1257344,795.65,2025-09-30
SYRMA SGS TECHNOLOGY LTD,15301.1257344,795.65,2025-10-17
BSE LIMITED,101036.7987712,2487.8,2025-08-25
BHARAT PETROLEUM CORP  LT,147097.0331136,339.05,2025-07-25
TORRENT PHARMACEUTICALS L,121532.3701248,3590.9,2025-08-13
TORRENT PHARMACEUTICALS L,121532.3701248,3590.9,2025-08-29
TORRENT PHARMACEUTICALS L,121532.3701248,3590.9,2025-10-01
BAYER CROPSCIENCE LTD,22579.806208,5009.4,2025-07-25
BAYER CROPSCIENCE LTD,22579.806208,5009.4,2025-09-26
NATCO PHARMA LTD.,15081.0509312,842.0,2025-07-30
NATCO PHARMA LTD.,15081.0509312,842.0,2025-09-29
CIPLA LTD,134379.9033856,1663.6,2025-08-11
CIPLA LTD,134379.9033856,1663.6,2025-09-10
MANAPPURAM FINANCE LTD,24216.4989952,286.1,2025-07-28
MANAPPURAM FINANCE LTD,24216.4989952,286.1,2025-09-29
MANAPPURAM FINANCE LTD,24216.4989952,286.1,2025-10-17
COFORGE LIMITED,58304.4694016,1741.5,2025-09-25
INDIAN OIL CORP LTD,217650.6527744,154.13,2025-07-28
VARROC ENGINEERING LTD.,9545.330688,624.75,2025-10-06
METRO BRANDS LIMITED,32716.8229376,1159.9,2025-08-06
METRO BRANDS LIMITED,32716.8229376,1159.9,2025-10-01
HONEYWELL AUTOMATION IND,32236.191744,36460.0,2025-07-28
HONEYWELL AUTOMATION IND,32236.191744,36460.0,2025-09-08
HONEYWELL AUTOMATION IND,32236.191744,36460.0,2025-09-26
LUPIN LIMITED,88716.0832,1942.3,2025-08-06
LUPIN LIMITED,88716.0832,1942.3,2025-09-02
LUPIN LIMITED,88716.0832,1942.3,2025-09-30
MAHANAGAR GAS LTD.,12743.3203712,1290.1,2025-07-24
MAHANAGAR GAS LTD.,12743.3203712,1290.1,2025-08-28
MAHANAGAR GAS LTD.,12743.3203712,1290.1,2025-09-29
