Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
TORRENT PHARMACEUTICALS L,120659.181568,3565.1,2025-10-23
J B CHEMICALS AND PHARMA,26394.29632,1685.5,2025-10-23
ABBOTT INDIA LIMITED,63569.4088192,29905.0,2025-10-20
HONEYWELL AUTOMATION IND,32603.1147008,36875.0,2025-10-21
BAYER CROPSCIENCE LTD,22367.6792832,4977.0,2025-10-21
NATCO PHARMA LTD.,14805.2279296,826.4,2025-10-20
DR. REDDY S LABORATORIES,106770.0518912,1282.2,2025-10-23
JAIPRAKASH POWER VEN. LTD,12123.684864,17.68,2025-10-24
VARROC ENGINEERING LTD.,9236.6553088,603.65,2025-10-24
KRISHNA INST OF MED SCI L,28930.113536,722.75,2025-10-20
HOME FIRST FIN CO IND LTD,12464.5507072,1203.6,2025-10-21
LEMON TREE HOTELS LTD,12981.4020096,163.8,2025-10-27
ACTION CONST EQUIP LTD,12920.2896896,1085.6,2025-10-23
NEWGEN SOFTWARE TECH LTD,13605.3366784,966.95,2025-10-24
EQUITAS SMALL FIN BNK LTD,6805.456896,59.67,2025-10-24
AMBER ENTERPRISES (I) LTD,29493.477376,8391.0,2025-10-27
CASTROL INDIA LIMITED,19632.1378304,198.37,2025-10-24
INDUS TOWERS LIMITED,101635.6864,385.35,2025-10-24
CHEMPLAST SANMAR LIMITED,6343.3560064,401.2,2025-10-24
TATA CONSUMER PRODUCT LTD,114860.9363968,1160.6,2025-10-20
INDIAN ENERGY EXC LTD,13101.1723264,147.31,2025-10-27
LAURUS LABS LIMITED,51307.9115776,950.0,2025-10-20
ZYDUS LIFESCIENCES LTD,100512.7139328,998.5,2025-10-24
WHIRLPOOL OF INDIA LTD,17485.4127616,1377.7,2025-10-20
ADITYA BIRLA REAL EST LTD,18616.8066048,1684.1,2025-10-27
VARDHMAN TEXTILES LIMITED,12548.1263104,433.85,2025-10-23
UNITED BREWERIES LTD,48610.9773824,1838.1,2025-10-23
TRENT LTD,167243.9529472,4704.0,2025-10-23
TATA ELXSI LIMITED,34477.9948032,5536.0,2025-10-24
COLGATE PALMOLIVE LTD.,60481.4442496,2223.7,2025-10-23
PNB HOUSING FIN LTD.,24261.1617792,931.3,2025-10-27
TUBE INVEST OF INDIA LTD,60639.2614912,3130.3,2025-10-24
HINDUSTAN UNILEVER LTD.,584953.9936256,2489.5,2025-10-20
KPR MILL LTD.,36474.9717504,1067.1,2025-10-27
JYOTHY LABS LIMITED,11495.6238848,313.0,2025-10-21
ECLERX SERVICES LTD,22163.267584,4721.7,2025-10-20
EICHER MOTORS LTD,190636.9101824,6950.5,2025-10-27
DABUR INDIA LTD,88968.101888,501.5,2025-10-23
THE RAMCO CEMENTS LIMITED,24906.399744,1054.05,2025-10-20
AVANTI FEEDS LIMITED,9856.6905856,723.45,2025-10-20
3M INDIA LIMITED,33491.0521344,29730.0,2025-10-20
BALAJI AMINES LIMITED,4520.7384064,1394.7,2025-10-27
CHALET HOTELS LIMITED,20240.4282368,925.55,2025-10-27
GUJARAT FLUOROCHEM LTD,39743.7304832,3618.0,2025-10-24
BRITANNIA INDUSTRIES LTD,140007.2044544,5810.0,2025-10-21
THE INDIAN HOTELS CO. LTD,105625.7867776,742.05,2025-10-21
AJANTA PHARMA LIMITED,29807.1425024,2385.8,2025-10-27
PVR INOX LIMITED,11602.325504,1181.5,2025-10-20
HDFC AMC LIMITED,120225.6871424,5615.5,2025-10-20
FIVE-STAR BUS FIN LTD,15829.6178688,537.25,2025-10-21
ALKYL AMINES CHEM. LTD,9641.6620544,1885.2,2025-10-24
NCC LIMITED,13204.8699392,210.32,2025-10-23
BOSCH LIMITED,113565.2634624,38505.0,2025-10-21
VIP INDUSTRIES LTD,5959.0365184,419.4,2025-10-20
PI INDUSTRIES LTD,54089.7869824,3565.5,2025-10-27
ICICI PRU LIFE INS CO LTD,86654.091264,598.95,2025-10-24
VARUN BEVERAGES LIMITED,153068.8176128,452.6,2025-10-20
COMPUTER AGE MNGT SER LTD,19770.2270976,3990.6,2025-10-24
GODAWARI POW & ISP LTD,17342.7277824,268.0,2025-10-23
ENGINEERS INDIA LTD,11162.0882432,198.49,2025-10-24
MOTHERSON SUMI WRNG IND L,30989.7560064,46.73,2025-10-23
ITC LTD,521408.610304,416.2,2025-10-20
TBO TEK LIMITED,16940.244992,1591.8,2025-10-21
BALKRISHNA IND. LTD,44888.2507776,2322.0,2025-10-27
CROMPT GREA CON ELEC LTD,18628.4572672,289.3,2025-10-27
MAHINDRA & MAHINDRA LTD,427516.5200384,3562.5,2025-10-20
SIGNATUREGLOBAL INDIA LTD,15249.6259072,1085.3,2025-10-23
INDIAN RENEWABLE ENERGY,42450.2951936,151.11,2025-10-20
COAL INDIA LTD,240377.2137472,390.05,2025-10-23
ZENSAR TECHNOLOGIES  LTD,18174.6548736,798.5,2025-10-24
CONTAINER CORP OF IND LTD,41142.59968,540.2,2025-10-23
INDIAN RAIL TOUR CORP LTD,58012.0018944,725.15,2025-10-20
APAR INDUSTRIES LTD.,36762.042368,9152.0,2025-10-20
RAINBOW CHILDRENS MED LTD,13923.7605376,1371.0,2025-10-27
GUJARAT AMBUJA EXPORTS LT,4862.8260864,106.02,2025-10-24
BIRLASOFT LIMITED,10521.0724352,377.55,2025-10-27
KANSAI NEROLAC PAINTS LTD,20026.867712,247.7,2025-10-20
SBFC FINANCE LIMITED,12609.5228928,115.37,2025-10-21
GUJ NAR VAL FER & CHEM L,7461.6479744,507.8,2025-10-23
SUNDARAM FINANCE LTD,51733.9971584,4694.0,2025-10-21
SOBHA LIMITED,16472.9307136,1540.8,2025-10-23
RATNAMANI MET & TUB LTD.,17487.95392,2495.0,2025-10-27
CRISIL LTD,36423.8143488,4980.0,2025-10-20
THERMAX LTD,36727.6097536,3260.4,2025-10-27
AAVAS FINANCIERS LIMITED,13158.3164416,1662.1,2025-10-27
KALYAN JEWELLERS IND LTD,52169.6968704,505.1,2025-10-20
REC LIMITED,97033.5387648,368.3,2025-10-24
EID PARRY INDIA LTD,18906.6674176,1063.0,2025-10-27
CIE AUTOMOTIVE INDIA LTD,16667.8380544,437.95,2025-10-20
NTPC LTD,327552.8077312,337.75,2025-10-20
L&T TECHNOLOGY SER. LTD.,43837.0861056,4140.1,2025-10-27
PIRAMAL PHARMA LIMITED,26585.2895232,200.97,2025-10-24
TVS SUPPLY CHAIN SOL L,5602.9863936,127.0,2025-10-24
SAMVRDHNA MTHRSN INTL LTD,112225.3930496,106.33,2025-10-23
INFO EDGE (I) LTD,89533.1139584,1382.9,2025-10-27
AARTI INDUSTRIES LTD,13669.7880576,377.0,2025-10-27
LIC HOUSING FINANCE LTD,32178.683904,585.0,2025-10-23
OBEROI REALTY LIMITED,61994.1789696,1705.0,2025-10-20
ALOK INDUSTRIES LIMITED,8614.6924544,17.35,2025-10-27
SUN PHARMA ADV.RES.CO.LTD,4582.6465792,141.17,2025-10-27
EASY TRIP PLANNERS LTD,2891.2982016,7.95,2025-10-27
INFOSYS LIMITED,618231.5491328,1491.4,2025-10-23
CYIENT LIMITED,13068.9417216,1184.0,2025-10-23
MPHASIS LIMITED,53852.8677888,2830.5,2025-10-21
CHOLAMANDALAM FIN HOL LTD,36396.6267392,1936.9,2025-10-24
BAJAJ HOLDINGS & INVS LTD,142455.6949504,12800.0,2025-10-21
PIRAMAL ENTERPRISES LTD,25527.9988736,1133.0,2025-10-20
ASIAN PAINTS LIMITED,238973.5636992,2493.0,2025-10-20
V-GUARD IND LTD.,16439.3336832,377.05,2025-10-24
RHI MAGNESITA INDIA LTD,9249.1988992,447.9,2025-10-27
INOX INDIA LIMITED,10909.7730048,1202.0,2025-10-23
BHARAT DYNAMICS LIMITED,55515.8929408,1514.5,2025-10-24
RASHTRIYA CHEMICALS & FER,8272.0120832,149.94,2025-10-20
POLY MEDICURE LIMITED,19355.60704,1909.6,2025-10-27
CUMMINS INDIA LTD,118549.8005504,4275.3,2025-10-20
ABB INDIA LIMITED,109143.4053632,5150.5,2025-10-24
TRIVENI TURBINE LIMITED,16537.7196032,520.2,2025-10-23
CRAFTSMAN AUTOMATION LTD,15421.4416384,6464.5,2025-10-27
